"盒幅锅龋","螟沥家疙","斥/岿/老","雀瞒","版档","困档","盲荐矫阿","TN(Х/L)","TP(Х/L)"
"3008B40","措没达1","2016/01/05","1雀瞒 惑摸何","127∑29'44""","36∑22'16""","13:40","0.821","0.009"
"3008B60","措没达2","2016/01/05","1雀瞒 惑摸何","127∑29'5.4""","36∑28'37""","12:10","2.389","0.007"
"3008B50","措没达3","2016/01/05","1雀瞒 惑摸何","127∑30'23.8""","36∑30'43.2""","12:25","1.861","0.015"
"3008B10","措没达4","2016/01/05","1雀瞒 惑摸何","127∑38'8.4""","36∑22'18.5""","10:50","2.489","0.007"
"3008B30","措没达5(措没龋)","2016/01/05","1雀瞒 惑摸何","127∑33'9.3""","36∑25'59.2""","11:35","1.776","0.010"
"3008B20","措没达6","2016/01/05","1雀瞒 惑摸何","127∑33'25.1""","36∑23'18.6""","11:10","1.821","0.015"
"3008B40","措没达1","2016/01/05","1雀瞒 吝摸何","127∑29'44""","36∑22'16""","13:41","0.826","0.012"
"3008B60","措没达2","2016/01/05","1雀瞒 吝摸何","127∑29'5.4""","36∑28'37""","12:10","2.161","0.010"
"3008B50","措没达3","2016/01/05","1雀瞒 吝摸何","127∑30'23.8""","36∑30'43.2""","12:25","1.870","0.011"
"3008B10","措没达4","2016/01/05","1雀瞒 吝摸何","127∑38'8.4""","36∑22'18.5""","10:50","2.500","0.007"
"3008B30","措没达5(措没龋)","2016/01/05","1雀瞒 吝摸何","127∑33'9.3""","36∑25'59.2""","11:35","1.743","0.011"
"3008B20","措没达6","2016/01/05","1雀瞒 吝摸何","127∑33'25.1""","36∑23'18.6""","11:10","2.025","0.014"
"3008B40","措没达1","2016/01/05","1雀瞒 窍摸何","127∑29'44""","36∑22'16""","13:42","0.750","0.012"
"3008B60","措没达2","2016/01/05","1雀瞒 窍摸何","127∑29'5.4""","36∑28'37""","12:10","2.611","0.016"
"3008B50","措没达3","2016/01/05","1雀瞒 窍摸何","127∑30'23.8""","36∑30'43.2""","12:25","1.892","0.011"
"3008B10","措没达4","2016/01/05","1雀瞒 窍摸何","127∑38'8.4""","36∑22'18.5""","10:50","2.609","0.007"
"3008B30","措没达5(措没龋)","2016/01/05","1雀瞒 窍摸何","127∑33'9.3""","36∑25'59.2""","11:35","1.795","0.017"
"3008B20","措没达6","2016/01/05","1雀瞒 窍摸何","127∑33'25.1""","36∑23'18.6""","11:10","2.643","0.011"
"3008B40","措没达1","2016/01/11","2雀瞒 惑摸何","127∑29'44""","36∑22'16""","14:45","0.768","0.008"
"3008B40","措没达1","2016/01/11","2雀瞒 吝摸何","127∑29'44""","36∑22'16""","14:46","0.713","0.008"
"3008B40","措没达1","2016/01/11","2雀瞒 窍摸何","127∑29'44""","36∑22'16""","14:47","0.716","0.008"
"3008B40","措没达1","2016/01/18","3雀瞒 惑摸何","127∑29'44""","36∑22'16""","14:51","1.069","0.025"
"3008B40","措没达1","2016/01/18","3雀瞒 吝摸何","127∑29'44""","36∑22'16""","14:52","1.132","0.024"
"3008B40","措没达1","2016/01/18","3雀瞒 窍摸何","127∑29'44""","36∑22'16""","14:53","1.100","0.026"
"3008B40","措没达1","2016/01/25","4雀瞒 惑摸何","127∑29'44""","36∑22'16""","14:30","0.861","0.012"
"3008B40","措没达1","2016/01/25","4雀瞒 吝摸何","127∑29'44""","36∑22'16""","14:31","0.841","0.012"
"3008B40","措没达1","2016/01/25","4雀瞒 窍摸何","127∑29'44""","36∑22'16""","14:32","0.886","0.016"
"3008B40","措没达1","2016/02/01","1雀瞒 惑摸何","127∑29'44""","36∑22'16""","15:05","1.041","0.012"
"3008B40","措没达1","2016/02/01","1雀瞒 吝摸何","127∑29'44""","36∑22'16""","15:10","1.053","0.011"
"3008B40","措没达1","2016/02/01","1雀瞒 窍摸何","127∑29'44""","36∑22'16""","15:15","1.068","0.014"
"3008B60","措没达2","2016/02/02","1雀瞒 惑摸何","127∑29'5.4""","36∑28'37""","11:15","2.375","0.005"
"3008B50","措没达3","2016/02/02","1雀瞒 惑摸何","127∑30'23.8""","36∑30'43.2""","11:35","2.079","0.008"
"3008B10","措没达4","2016/02/02","1雀瞒 惑摸何","127∑38'8.4""","36∑22'18.5""","00:00","",""
"3008B30","措没达5(措没龋)","2016/02/02","1雀瞒 惑摸何","127∑33'9.3""","36∑25'59.2""","10:45","1.897","0.010"
"3008B20","措没达6","2016/02/02","1雀瞒 惑摸何","127∑33'25.1""","36∑23'18.6""","00:00","",""
"3008B60","措没达2","2016/02/02","1雀瞒 吝摸何","127∑29'5.4""","36∑28'37""","11:15","2.084","0.005"
"3008B50","措没达3","2016/02/02","1雀瞒 吝摸何","127∑30'23.8""","36∑30'43.2""","11:35","2.195","0.007"
"3008B10","措没达4","2016/02/02","1雀瞒 吝摸何","127∑38'8.4""","36∑22'18.5""","00:00","",""
"3008B30","措没达5(措没龋)","2016/02/02","1雀瞒 吝摸何","127∑33'9.3""","36∑25'59.2""","10:45","2.017","0.017"
"3008B20","措没达6","2016/02/02","1雀瞒 吝摸何","127∑33'25.1""","36∑23'18.6""","00:00","",""
"3008B60","措没达2","2016/02/02","1雀瞒 窍摸何","127∑29'5.4""","36∑28'37""","11:15","2.074","0.007"
"3008B50","措没达3","2016/02/02","1雀瞒 窍摸何","127∑30'23.8""","36∑30'43.2""","11:35","2.060","0.007"
"3008B10","措没达4","2016/02/02","1雀瞒 窍摸何","127∑38'8.4""","36∑22'18.5""","00:00","",""
"3008B30","措没达5(措没龋)","2016/02/02","1雀瞒 窍摸何","127∑33'9.3""","36∑25'59.2""","10:45","2.136","0.009"
"3008B20","措没达6","2016/02/02","1雀瞒 窍摸何","127∑33'25.1""","36∑23'18.6""","00:00","",""
"3008B40","措没达1","2016/02/11","2雀瞒 惑摸何","127∑29'44""","36∑22'16""","14:05","1.003","0.040"
"3008B40","措没达1","2016/02/11","2雀瞒 吝摸何","127∑29'44""","36∑22'16""","14:10","0.927","0.037"
"3008B40","措没达1","2016/02/11","2雀瞒 窍摸何","127∑29'44""","36∑22'16""","14:15","0.936","0.037"
"3008B40","措没达1","2016/02/15","3雀瞒 惑摸何","127∑29'44""","36∑22'16""","14:20","0.936","0.014"
"3008B40","措没达1","2016/02/15","3雀瞒 吝摸何","127∑29'44""","36∑22'16""","14:25","0.898","0.013"
"3008B40","措没达1","2016/02/15","3雀瞒 窍摸何","127∑29'44""","36∑22'16""","14:30","0.936","0.013"
"3008B40","措没达1","2016/02/22","4雀瞒 惑摸何","127∑29'44""","36∑22'16""","13:30","0.765","0.017"
"3008B40","措没达1","2016/02/22","4雀瞒 吝摸何","127∑29'44""","36∑22'16""","13:35","0.748","0.016"
"3008B40","措没达1","2016/02/22","4雀瞒 窍摸何","127∑29'44""","36∑22'16""","13:40","0.952","0.010"
"3008B40","措没达1","2016/03/02","1雀瞒 惑摸何","127∑29'44""","36∑22'16""","14:55","0.986","0.014"
"3008B60","措没达2","2016/03/02","1雀瞒 惑摸何","127∑29'5.4""","36∑28'37""","12:05","2.078","0.006"
"3008B50","措没达3","2016/03/02","1雀瞒 惑摸何","127∑30'23.8""","36∑30'43.2""","12:25","2.244","0.009"
"3008B10","措没达4","2016/03/02","1雀瞒 惑摸何","127∑38'8.4""","36∑22'18.5""","10:45","3.324","0.012"
"3008B30","措没达5(措没龋)","2016/03/02","1雀瞒 惑摸何","127∑33'9.3""","36∑25'59.2""","11:30","2.183","0.013"
"3008B20","措没达6","2016/03/02","1雀瞒 惑摸何","127∑33'25.1""","36∑23'18.6""","11:10","3.466","0.013"
"3008B40","措没达1","2016/03/02","1雀瞒 吝摸何","127∑29'44""","36∑22'16""","15:00","0.995","0.015"
"3008B60","措没达2","2016/03/02","1雀瞒 吝摸何","127∑29'5.4""","36∑28'37""","12:05","1.984","0.006"
"3008B50","措没达3","2016/03/02","1雀瞒 吝摸何","127∑30'23.8""","36∑30'43.2""","12:25","2.118","0.014"
"3008B10","措没达4","2016/03/02","1雀瞒 吝摸何","127∑38'8.4""","36∑22'18.5""","10:45","3.381","0.010"
"3008B30","措没达5(措没龋)","2016/03/02","1雀瞒 吝摸何","127∑33'9.3""","36∑25'59.2""","11:30","2.253","0.011"
"3008B20","措没达6","2016/03/02","1雀瞒 吝摸何","127∑33'25.1""","36∑23'18.6""","11:10","3.224","0.010"
"3008B40","措没达1","2016/03/02","1雀瞒 窍摸何","127∑29'44""","36∑22'16""","15:05","1.002","0.016"
"3008B60","措没达2","2016/03/02","1雀瞒 窍摸何","127∑29'5.4""","36∑28'37""","12:05","2.253","0.010"
"3008B50","措没达3","2016/03/02","1雀瞒 窍摸何","127∑30'23.8""","36∑30'43.2""","12:25","2.088","0.009"
"3008B10","措没达4","2016/03/02","1雀瞒 窍摸何","127∑38'8.4""","36∑22'18.5""","10:45","3.354","0.010"
"3008B30","措没达5(措没龋)","2016/03/02","1雀瞒 窍摸何","127∑33'9.3""","36∑25'59.2""","11:30","2.445","0.014"
"3008B20","措没达6","2016/03/02","1雀瞒 窍摸何","127∑33'25.1""","36∑23'18.6""","11:10","3.344","0.012"
"3008B40","措没达1","2016/03/07","2雀瞒 惑摸何","127∑29'44""","36∑22'16""","13:45","0.873","0.010"
"3008B40","措没达1","2016/03/07","2雀瞒 吝摸何","127∑29'44""","36∑22'16""","13:50","0.824","0.009"
"3008B40","措没达1","2016/03/07","2雀瞒 窍摸何","127∑29'44""","36∑22'16""","13:55","0.837","0.005"
"3008B40","措没达1","2016/03/14","3雀瞒 惑摸何","127∑29'44""","36∑22'16""","14:00","1.119","0.009"
"3008B40","措没达1","2016/03/14","3雀瞒 吝摸何","127∑29'44""","36∑22'16""","14:05","1.141","0.007"
"3008B40","措没达1","2016/03/14","3雀瞒 窍摸何","127∑29'44""","36∑22'16""","14:10","1.194","0.026"
"3008B40","措没达1","2016/03/21","4雀瞒 惑摸何","127∑29'44""","36∑22'16""","13:05","0.930","0.006"
"3008B40","措没达1","2016/03/21","4雀瞒 吝摸何","127∑29'44""","36∑22'16""","13:10","0.922","0.007"
"3008B40","措没达1","2016/03/21","4雀瞒 窍摸何","127∑29'44""","36∑22'16""","13:15","1.009","0.007"
"3008B40","措没达1","2016/03/28","5雀瞒 惑摸何","127∑29'44""","36∑22'16""","13:50","1.070","0.013"
"3008B40","措没达1","2016/03/28","5雀瞒 吝摸何","127∑29'44""","36∑22'16""","13:55","1.091","0.011"
"3008B40","措没达1","2016/03/28","5雀瞒 窍摸何","127∑29'44""","36∑22'16""","14:00","1.178","0.011"
"3008B40","措没达1","2016/04/04","1雀瞒 惑摸何","127∑29'44""","36∑22'16""","14:00","1.154","0.022"
"3008B40","措没达1","2016/04/04","1雀瞒 吝摸何","127∑29'44""","36∑22'16""","14:05","1.059","0.019"
"3008B40","措没达1","2016/04/04","1雀瞒 窍摸何","127∑29'44""","36∑22'16""","14:10","1.093","0.015"
"3008B60","措没达2","2016/04/05","1雀瞒 惑摸何","127∑29'5.4""","36∑28'37""","12:00","2.187","0.007"
"3008B50","措没达3","2016/04/05","1雀瞒 惑摸何","127∑30'23.8""","36∑30'43.2""","12:20","1.961","0.009"
"3008B10","措没达4","2016/04/05","1雀瞒 惑摸何","127∑38'8.4""","36∑22'18.5""","10:45","3.156","0.019"
"3008B30","措没达5(措没龋)","2016/04/05","1雀瞒 惑摸何","127∑33'9.3""","36∑25'59.2""","11:30","3.079","0.017"
"3008B20","措没达6","2016/04/05","1雀瞒 惑摸何","127∑33'25.1""","36∑23'18.6""","11:10","3.964","0.020"
"3008B60","措没达2","2016/04/05","1雀瞒 吝摸何","127∑29'5.4""","36∑28'37""","12:00","2.009","0.008"
