조사일,채수위치,TN(㎎/L),TP(㎎/L)
2015-01-05,문의,1.798,0.009
2015-01-06,추동,2.283,0.008
2015-01-06,회남,,
2015-01-12,문의,1.403,0.009
2015-01-19,문의,1.501,0.015
2015-01-26,문의,1.509,0.007
2015-02-02,문의,1.615,0.01
2015-02-02,추동,1.121,0.016
2015-02-02,회남,,
2015-02-09,문의,1.475,0.009
2015-02-16,문의,1.492,0.007
2015-02-23,문의,1.436,0.006
2015-03-02,문의,1.458,0.006
2015-03-04,추동,2.724,0.005
2015-03-04,회남,3.087,0.011
2015-03-09,문의,1.53,0.007
2015-03-16,문의,1.469,0.008
2015-03-23,문의,1.617,0.006
2015-03-30,문의,1.34,0.006
2015-04-02,추동,2.841,0.009
2015-04-02,회남,3.225,0.017
2015-04-06,문의,1.403,0.007
2015-04-13,문의,1.673,0.007
2015-04-20,문의,1.392,0.007
2015-04-27,문의,1.838,0.007
2015-05-04,문의,1.546,0.008
2015-05-06,추동,2.092,0.01
2015-05-06,회남,2.023,0.025
2015-05-11,문의,1.564,0.008
2015-05-18,문의,1.588,0.007
2015-05-26,문의,1.633,0.007
2015-06-01,문의,1.491,0.007
2015-06-01,추동,2.502,0.004
2015-06-01,회남,3.442,0.02
2015-06-08,문의,1.437,0.007
2015-06-15,문의,1.275,0.009
2015-06-22,문의,1.441,0.011
2015-06-29,문의,1.546,0.014
2015-07-02,추동,2.173,0.01
2015-07-02,회남,2.314,0.046
2015-07-06,문의,1.084,0.016
2015-07-13,문의,0.868,0.014
2015-07-20,문의,0.707,0.019
2015-07-27,문의,0.872,0.016
2015-08-03,문의,0.869,0.023
2015-08-05,추동,1.796,0.006
2015-08-05,회남,1.672,0.031
2015-08-10,문의,0.69,0.025
2015-08-17,문의,0.641,0.022
2015-08-24,문의,0.679,0.022
2015-08-31,문의,0.616,0.027
2015-09-03,추동,1.685,0.015
2015-09-03,회남,1.649,0.036
2015-09-07,문의,0.576,0.023
2015-09-14,문의,0.779,0.023
2015-09-21,문의,0.638,0.022
2015-09-30,문의,0.629,0.026
2015-10-02,추동,1.736,0.008
2015-10-02,회남,1.342,0.038
2015-10-05,문의,0.717,0.019
2015-10-12,문의,0.763,0.019
2015-10-19,문의,0.61,0.011
2015-10-26,문의,0.663,0.017
2015-11-02,문의,0.808,0.011
2015-11-03,추동,1.488,0.01
2015-11-03,회남,1.65,0.019
2015-11-09,문의,0.617,0.004
2015-11-16,문의,0.741,0.013
2015-11-25,문의,0.52,0.011
2015-11-25,문의,0.556,0.01
2015-11-30,문의,0.659,0.01
2015-12-01,추동,1.638,0.016
2015-12-01,회남,3.439,0.01
2015-12-07,문의,0.732,0.021
2015-12-14,문의,0.725,0.009
2015-12-21,문의,0.829,0.012
2015-12-28,문의,0.576,0.007
2016-01-05,문의,0.821,0.009
2016-01-05,추동,2.389,0.007
2016-01-05,회남,2.489,0.007
2016-01-11,문의,0.768,0.008
2016-01-18,문의,1.069,0.025
2016-01-25,문의,0.861,0.012
2016-02-01,문의,1.041,0.012
2016-02-02,추동,2.375,0.005
2016-02-02,회남,,
2016-02-11,문의,1.003,0.04
2016-02-15,문의,0.936,0.014
2016-02-22,문의,0.765,0.017
2016-03-02,문의,0.986,0.014
2016-03-02,추동,2.078,0.006
2016-03-02,회남,3.324,0.012
2016-03-07,문의,0.873,0.01
2016-03-14,문의,1.119,0.009
2016-03-21,문의,0.93,0.006
2016-03-28,문의,1.07,0.013
2016-04-04,문의,1.154,0.022
2016-04-05,추동,2.187,0.007
2016-04-05,회남,3.156,0.019
2016-04-11,문의,1.04,0.017
2016-04-18,문의,0.923,0.011
2016-04-25,문의,1.322,0.005
2016-05-02,문의,1.514,0.007
2016-05-03,추동,3.202,0.014
2016-05-03,회남,4.368,0.031
2016-05-09,문의,1.624,0.003
