일시,수위(EL.m),저수량(백만㎥),저수율(%),강우량(mm),유입량(㎥/s),총방류량(㎥/s)
2015-01-01,73.31,975.902,65.5,0.0553,28.909,42.273
2015-01-02,73.28,974.172,65.4,0.0,21.887,41.915
2015-01-03,73.26,973.019,65.3,0.0,28.391,41.731
2015-01-04,73.24,971.868,65.2,0.0,19.997,33.328
2015-01-05,73.22,970.717,65.2,6.2879,16.073,29.395
2015-01-06,73.21,970.141,65.1,8.533,36.585,43.242
2015-01-07,73.23,971.292,65.2,0.0,55.973,42.656
2015-01-08,73.25,972.443,65.3,0.0,59.318,45.992
2015-01-09,73.25,972.443,65.3,0.0,45.785,45.785
2015-01-10,73.25,972.443,65.3,0.0,45.784,45.784
2015-01-11,73.26,973.019,65.3,0.0505,47.673,41.006
2015-01-12,73.23,971.292,65.2,0.0,30.533,50.526
2015-01-13,73.22,970.717,65.2,0.0,39.122,45.782
2015-01-14,73.2,969.566,65.1,0.0,32.405,45.718
2015-01-15,73.18,968.417,65.0,0.0,31.897,45.2
2015-01-16,73.15,966.694,64.9,0.11,25.625,45.562
2015-01-17,73.14,966.121,64.8,0.1042,38.848,45.489
2015-01-18,73.12,964.974,64.8,1.1734,27.41,40.685
2015-01-19,73.09,963.255,64.7,0.7291,30.604,50.5
2015-01-20,73.07,962.11,64.6,0.0,32.235,45.487
2015-01-21,73.04,960.394,64.5,3.7761,25.815,45.676
2015-01-22,73.03,959.822,64.4,1.4873,38.461,45.077
2015-01-23,73.01,958.68,64.3,0.0,32.529,45.753
2015-01-24,72.99,957.538,64.3,0.0,31.733,44.948
2015-01-25,72.98,956.967,64.2,1.298,33.94,40.544
2015-01-26,72.95,955.257,64.1,1.7979,30.833,50.631
2015-01-27,72.93,954.117,64.0,0.0,32.778,45.965
2015-01-28,72.91,952.979,64.0,0.0,32.306,45.484
2015-01-29,72.91,952.979,64.0,0.437,45.651,45.651
2015-01-30,72.89,951.841,63.9,0.6849,32.81,45.979
2015-01-31,72.88,951.272,63.8,0.0,39.498,46.079
2015-02-01,72.87,950.704,63.8,0.0,33.921,40.5
2015-02-02,72.83,948.432,63.7,0.0,34.534,60.825
2015-02-03,72.8,946.731,63.5,0.0,31.243,50.937
2015-02-04,72.76,944.465,63.4,0.0,24.36,50.586
2015-02-05,72.73,942.767,63.3,0.0,31.227,50.873
2015-02-06,72.7,941.072,63.2,0.0,31.167,50.792
2015-02-07,72.66,938.814,63.0,0.0,24.829,50.963
2015-02-08,72.64,937.686,62.9,0.0,27.505,40.558
2015-02-09,72.58,934.307,62.7,0.0,24.158,63.262
2015-02-10,72.53,931.497,62.5,0.0,26.851,59.375
2015-02-11,72.48,928.692,62.3,0.0,27.374,59.84
2015-02-12,72.43,925.892,62.1,0.0,26.582,58.991
2015-02-13,72.38,923.097,62.0,0.0,27.57,59.921
2015-02-14,72.32,919.749,61.7,0.0,21.296,60.042
2015-02-15,72.28,917.522,61.6,1.6853,24.279,50.064
2015-02-16,72.25,915.853,61.5,14.7602,41.117,60.431
2015-02-17,72.22,914.186,61.4,0.2409,36.065,55.359
2015-02-18,72.22,914.186,61.4,0.1002,50.107,50.107
2015-02-19,72.21,913.631,61.3,0.0,39.603,46.03
2015-02-20,72.18,911.966,61.2,0.0,30.347,49.613
2015-02-21,72.17,911.411,61.2,3.5302,43.528,49.946
2015-02-22,72.15,910.303,61.1,0.7489,33.196,46.024
2015-02-23,72.13,909.196,61.0,0.0,42.64,55.459
2015-02-24,72.12,908.642,61.0,0.0,44.22,50.626
2015-02-25,72.1,907.536,60.9,0.0,38.387,51.192
2015-02-26,72.08,906.43,60.8,0.0,38.226,51.022
2015-02-27,72.06,905.325,60.8,0.0,38.025,50.812
2015-02-28,72.04,904.221,60.7,0.2191,37.944,50.722
2015-03-01,72.02,903.118,60.6,1.1448,32.794,45.563
2015-03-02,72.0,902.016,60.5,0.0,32.909,45.669
2015-03-03,71.99,901.465,60.5,0.8929,39.797,46.173
2015-03-04,71.94,898.713,60.3,0.0663,24.268,56.116
2015-03-05,71.91,897.064,60.2,0.0,36.077,55.158
2015-03-06,71.87,894.869,60.1,0.0,29.659,55.069
2015-03-07,71.83,892.677,59.9,0.0,25.591,50.965
2015-03-08,71.81,891.582,59.8,0.0,28.932,41.605
2015-03-09,71.75,888.302,59.6,0.0,22.66,60.625
2015-03-10,71.72,886.664,59.5,0.0,31.848,50.8
2015-03-11,71.67,883.939,59.3,0.0,19.397,50.938
2015-03-12,71.63,881.762,59.2,0.0,25.856,51.048
2015-03-13,71.59,879.589,59.0,1.1574,25.755,50.91
2015-03-14,71.56,877.961,58.9,0.0,31.957,50.8
2015-03-15,71.52,875.793,58.8,0.0,16.16,41.252
2015-03-16,71.47,873.088,58.6,0.0,29.14,60.454
2015-03-17,71.43,870.927,58.5,0.0,25.988,50.998
2015-03-18,71.44,871.467,58.5,28.9735,56.204,49.955
2015-03-19,71.46,872.547,58.6,0.3689,63.322,50.817
2015-03-20,71.57,878.504,59.0,0.0,120.236,51.295
2015-03-21,71.63,881.762,59.2,0.0,88.376,50.657
2015-03-22,71.67,883.939,59.3,0.0,65.834,40.642
2015-03-23,71.68,884.484,59.4,0.0,67.272,60.968
2015-03-24,71.68,884.484,59.4,0.0,50.934,50.934
2015-03-25,71.66,883.395,59.3,0.0,38.471,51.076
2015-03-26,71.64,882.306,59.2,0.0,38.424,51.02
2015-03-27,71.65,882.85,59.3,0.0,40.611,34.314
2015-03-28,71.66,883.395,59.3,0.11,40.067,33.768
2015-03-29,71.66,883.395,59.3,0.0,33.406,33.406
2015-03-30,71.65,882.85,59.3,0.0,26.984,33.283
2015-03-31,71.66,883.395,59.3,2.364,40.411,34.112
2015-04-01,71.61,880.675,59.1,1.1634,30.264,61.737
2015-04-02,71.57,878.504,59.0,0.325,36.568,61.705
2015-04-03,71.54,876.877,58.9,7.6868,43.289,62.118
2015-04-04,71.51,875.252,58.7,13.5084,41.579,60.388
2015-04-05,71.52,875.793,58.8,2.856,58.857,52.59
2015-04-06,71.52,875.793,58.8,1.8356,70.874,70.874
2015-04-07,71.54,876.877,58.9,0.0,74.32,61.779
2015-04-08,71.55,877.419,58.9,0.0634,67.658,61.384
2015-04-09,71.55,877.419,58.9,0.0,62.128,62.128
2015-04-10,71.53,876.335,58.8,0.0,49.087,61.633
2015-04-11,71.49,874.169,58.7,0.0,45.844,70.909
2015-04-12,71.46,872.547,58.6,0.0,41.112,59.887
2015-04-13,71.4,869.308,58.3,2.3573,42.133,79.621
2015-04-14,71.37,867.691,58.2,12.7844,51.315,70.029
2015-04-15,71.35,866.614,58.2,2.9333,57.201,69.666
2015-04-16,71.34,866.076,58.1,3.8201,64.239,70.468
2015-04-17,71.34,866.076,58.1,0.0,69.281,69.281
2015-04-18,71.34,866.076,58.1,3.1848,69.485,69.485
2015-04-19,71.35,866.614,58.2,2.1898,65.485,59.256
2015-04-20,71.35,866.614,58.2,15.2309,79.173,79.173
2015-04-21,71.37,867.691,58.2,0.1684,81.557,69.092
2015-04-22,71.43,870.927,58.5,0.0,120.437,82.989
2015-04-23,71.44,871.467,58.5,0.0,89.011,82.762
2015-04-24,71.42,870.387,58.4,0.0,70.983,83.479
2015-04-25,71.39,868.769,58.3,0.0,64.222,82.949
2015-04-26,71.41,869.847,58.4,0.0,52.159,39.676
2015-04-27,71.41,869.847,58.4,0.0,41.104,41.104
2015-04-28,71.41,869.847,58.4,0.1575,41.438,41.438
2015-04-29,71.43,870.927,58.5,16.3233,53.656,41.164
2015-04-30,71.45,872.007,58.5,0.0,54.052,41.551
2015-05-01,71.39,868.769,58.3,0.0,54.284,91.759
2015-05-02,71.32,865.0,58.1,0.0,48.007,91.625
2015-05-03,71.26,861.778,57.8,5.5889,49.055,86.354
2015-05-04,71.17,856.957,57.5,0.2501,40.515,96.311
2015-05-05,71.09,852.685,57.2,0.0,42.191,91.634
2015-05-06,71.0,847.894,56.9,0.0,37.499,92.951
2015-05-07,70.89,842.06,56.5,0.0,26.278,93.805
2015-05-08,70.8,837.304,56.2,0.0,38.738,93.786
2015-05-09,70.68,830.986,55.8,0.0,20.365,93.48
2015-05-10,70.58,825.743,55.4,0.0,28.175,88.858
2015-05-11,70.48,820.52,55.1,5.0741,36.565,97.025
2015-05-12,70.38,815.315,54.7,9.363,33.524,93.761
2015-05-13,70.29,810.648,54.4,0.2863,41.861,95.884
2015-05-14,70.18,804.964,54.0,0.0,30.108,95.892
2015-05-15,70.07,799.303,53.6,0.0,32.161,97.677
2015-05-16,69.96,793.417,53.3,0.0,27.826,95.952
2015-05-17,69.84,787.273,52.8,0.0,19.335,90.451
2015-05-18,69.72,781.161,52.4,0.0,26.619,97.357
2015-05-19,69.6,775.082,52.0,0.2385,21.398,91.761
2015-05-20,69.48,769.035,51.6,0.1159,21.585,91.573
2015-05-21,69.37,763.52,51.2,0.0,27.788,91.615
