분류,지점명,채수위치,조사일,수온(℃),pH,DO(㎎/L),투명도,탁도,Chl-a (㎎/㎥),유해남조류 세포수 (cells/㎖),유해남조류 우점종 및 세포수(속별),유해남조류 우점종 및 세포수(속별).1,유해남조류 우점종 및 세포수(속별).2,유해남조류 우점종 및 세포수(속별).3,냄새물질 (ng/L),냄새물질 (ng/L).1,조류독소(㎍/L),조류독소(㎍/L).1,조류독소(㎍/L).2,조류독소(㎍/L).3,조류독소(㎍/L).4,조류독소(㎍/L).5,평균기온(°C),일강수량(mm),합계 일조시간(hr),합계 일사량(MJ/m2)
호소,대청호,문의,2015-01-05,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,3.2,6.1,4.1,7.64
호소,대청호,회남,2015-01-05,8.8,8.2,13.3,2.9,1.7,4.5,48.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,3.2,6.1,4.1,7.64
호소,대청호,추동,2015-01-05,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,3.2,6.1,4.1,7.64
호소,대청호,추동,2015-01-12,8.8,8.2,13.3,2.9,1.7,4.5,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,-1.8,0.0,8.9,12.35
호소,대청호,문의,2015-01-12,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,-1.8,0.0,8.9,12.35
호소,대청호,회남,2015-01-12,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,-1.8,0.0,8.9,12.35
호소,대청호,회남,2015-01-19,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.8,0.0,2.3,5.16
호소,대청호,문의,2015-01-19,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.8,0.0,2.3,5.16
호소,대청호,추동,2015-01-19,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.8,0.0,2.3,5.16
호소,대청호,회남,2015-01-26,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,5.3,0.3,0.0,1.82
호소,대청호,추동,2015-01-26,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,5.3,0.3,0.0,1.82
호소,대청호,문의,2015-01-26,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,5.3,0.3,0.0,1.82
호소,대청호,회남,2015-02-02,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,-0.5,0.0,8.0,13.14
호소,대청호,문의,2015-02-02,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,-0.5,0.0,8.0,13.14
호소,대청호,추동,2015-02-02,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,-0.5,0.0,8.0,13.14
호소,대청호,문의,2015-02-09,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,-4.5,0.0,9.1,14.99
호소,대청호,추동,2015-02-09,8.8,8.2,13.3,2.9,1.7,4.5,16.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,-4.5,0.0,9.1,14.99
