조사일	수온(℃)	pH	DO(㎎/L)	투명도	탁도	Chl-a (㎎/㎥)	유해남조류 세포수 (cells/㎖)	유해남조류 우점종 및 세포수(속별)	유해남조류 우점종 및 세포수(속별).1	유해남조류 우점종 및 세포수(속별).2	유해남조류 우점종 및 세포수(속별).3	냄새물질 (ng/L)	냄새물질 (ng/L).1	조류독소(㎍/L)	조류독소(㎍/L).1	조류독소(㎍/L).2	조류독소(㎍/L).3	조류독소(㎍/L).4	조류독소(㎍/L).5	평균기온(°C)	일강수량(mm)	합계 일조시간(hr)	합계 일사량(MJ/m2)	과거_수온(℃)	과거_남조류(cells/㎖)	채수위치_문의	채수위치_추동	채수위치_회남
2015-01-12	8.8	8.2	13.3	2.9	1.7	4.5	0	0	0	0	0	0	0	0	0.7	0	0	0	0	-1.8	0	8.9	12.35	8.8	0	TRUE	FALSE	FALSE
2015-01-19	8.8	8.2	13.3	2.9	1.7	4.5	0	0	0	0	0	0	0	0	0.7	0	0	0	0	1.8	0	2.3	5.16	8.8	0	TRUE	FALSE	FALSE
2015-01-26	8.8	8.2	13.3	2.9	1.7	4.5	0	0	0	0	0	0	0	0	0.7	0	0	0	0	5.3	0.3	0	1.82	8.8	0	TRUE	FALSE	FALSE
2015-02-02	8.8	8.2	13.3	2.9	1.7	4.5	0	0	0	0	0	0	0	0	0.7	0	0	0	0	-0.5	0	8	13.14	8.8	0	TRUE	FALSE	FALSE
2015-02-09	8.8	8.2	13.3	2.9	1.7	4.5	0	0	0	0	0	0	0	0	0.7	0	0	0	0	-4.5	0	9.1	14.99	8.8	0	TRUE	FALSE	FALSE
2015-02-16	8.8	8.2	13.3	2.9	1.7	4.5	0	0	0	0	0	0	0	0	0.7	0	0	0	0	4.8	17	0	1.33	8.8	0	TRUE	FALSE	FALSE
2015-02-23	8.8	8.2	13.3	2.9	1.7	4.5	0	0	0	0	0	0	0	0	0.7	0	0	0	0	3	0	6.9	15.66	8.8	0	TRUE	FALSE	FALSE
2015-03-02	8.8	8.2	13.3	2.9	1.7	4.5	48	0	0	0	48	0	0	0	0.7	0	0	0	0	3.8	0	10.5	20.08	8.8	0	TRUE	FALSE	FALSE
2015-03-09	8.8	8.2	13.3	2.9	1.7	4.5	0	0	0	0	0	0	0	0	0.7	0	0	0	0	4.4	0	9.1	18.79	8.8	48	TRUE	FALSE	FALSE
2015-03-16	8.8	8.2	13.3	2.9	1.7	4.5	0	0	0	0	0	0	0	0	0.7	0	0	0	0	10.3	0	9.3	19.06	8.8	0	TRUE	FALSE	FALSE
2015-03-23	8.8	8.2	13.3	2.9	1.7	4.5	0	0	0	0	0	0	0	0	0.7	0	0	0	0	5.3	0	11.6	24.63	8.8	0	TRUE	FALSE	FALSE
2015-03-30	8.8	8.2	13.3	2.9	1.7	4.5	0	0	0	0	0	0	0	0	0.7	0	0	0	0	14.8	0	10.3	22.87	8.8	0	TRUE	FALSE	FALSE
2015-04-06	8.8	8.2	13.3	2.9	1.7	4.5	0	0	0	0	0	0	0	0	0.7	0	0	0	0	10.4	2.1	0	5.41	8.8	0	TRUE	FALSE	FALSE
2015-04-13	8.8	8.2	13.3	2.9	1.7	4.5	0	0	0	0	0	0	0	0	0.7	0	0	0	0	10.8	1.5	0.2	5.43	8.8	0	TRUE	FALSE	FALSE
2015-04-20	8.8	8.2	13.3	2.9	1.7	4.5	0	0	0	0	0	0	0	0	0.7	0	0	0	0	11.5	13	0	3.63	8.8	0	TRUE	FALSE	FALSE
2015-04-27	8.8	8.2	13.3	2.9	1.7	4.5	0	0	0	0	0	0	0	0	0.7	0	0	0	0	19.3	0	12.4	27.61	8.8	0	TRUE	FALSE	FALSE
2015-05-04	8.8	8.2	13.3	2.9	1.7	4.5	0	0	0	0	0	0	0	0	0.7	0	0	0	0	16.4	0	11.8	27.61	8.8	0	TRUE	FALSE	FALSE
2015-05-11	8.8	8.2	13.3	2.9	1.7	4.5	0	0	0	0	0	0	0	0	0.7	0	0	0	0	18.2	10	5.3	16.62	8.8	0	TRUE	FALSE	FALSE
2015-05-18	8.8	8.2	13.3	2.9	1.7	4.5	28	0	0	0	28	0	0	0	0.7	0	0	0	0	18.7	0	5.6	18.34	8.8	0	TRUE	FALSE	FALSE
2015-05-26	8.8	8.2	13.3	2.9	1.7	4.5	28	0	0	0	28	0	0	0	0.7	0	0	0	0	22.3	0	13.3	31.86	8.8	28	TRUE	FALSE	FALSE
2015-06-01	8.8	8.2	13.3	2.9	1.7	4.5	0	0	0	0	0	0	0	0	0.7	0	0	0	0	23.3	0	12.5	28.27	8.8	28	TRUE	FALSE	FALSE
2015-06-08	8.8	8.2	13.3	2.9	1.7	4.5	120	86	0	0	34	0	0	0	0.7	0	0	0	0	22	0	1.3	12.78	8.8	0	TRUE	FALSE	FALSE
2015-06-15	8.8	8.2	13.3	2.9	1.7	4.5	0	0	0	0	0	0	0	0	0.7	0	0	0	0	24.9	0	5.1	19.87	8.8	120	TRUE	FALSE	FALSE
2015-06-22	8.8	8.2	13.3	2.9	1.7	4.5	0	0	0	0	0	0	0	0	0.7	0	0	0	0	24.4	0	7.1	23.5	8.8	0	TRUE	FALSE	FALSE
2015-06-29	8.8	8.2	13.3	2.9	1.7	4.5	142	74	0	0	68	0	0	0	0.7	0	0	0	0	25.7	0	10.1	26.28	8.8	0	TRUE	FALSE	FALSE
2015-07-06	8.8	8.2	13.3	2.9	1.7	4.5	548	156	0	0	392	0	0	0	0.7	0	0	0	0	24.3	0	8.5	23.09	8.8	142	TRUE	FALSE	FALSE
2015-07-13	8.8	8.2	13.3	2.9	1.7	4.5	140	0	126	0	14	0	0	0	0.7	0	0	0	0	23.9	4.6	0.1	6.15	8.8	548	TRUE	FALSE	FALSE
2015-07-20	8.8	8.2	13.3	2.9	1.7	4.5	366	0	98	0	268	11	0	0	0.7	0	0	0	0	27.4	0	4.2	19.86	8.8	140	TRUE	FALSE	FALSE
2015-07-27	8.8	8.2	13.3	2.9	1.7	4.5	64	64	0	0	0	0	0	0	0.7	0	0	0	0	25.7	4	2.3	8.13	8.8	366	TRUE	FALSE	FALSE
2015-08-03	8.8	8.2	13.3	2.9	1.7	4.5	502	270	146	0	86	0	0	0	0.7	0	0	0	0	29	0	13	27.86	8.8	64	TRUE	FALSE	FALSE
2015-08-10	8.8	8.2	13.3	2.9	1.7	4.5	28	0	28	0	0	0	0	0	0.7	0	0	0	0	26.3	0	1.6	14.28	8.8	502	TRUE	FALSE	FALSE
2015-08-17	8.8	8.2	13.3	2.9	1.7	4.5	486	60	0	0	426	40	0	0	0.7	0	0	0	0	26.8	0	11.2	23.9	8.8	28	TRUE	FALSE	FALSE
2015-08-24	8.8	8.2	13.3	2.9	1.7	4.5	374	220	0	0	154	26	0	0	0.7	0	0	0	0	26.5	0	4.3	15.03	8.8	486	TRUE	FALSE	FALSE
2015-08-31	8.8	8.2	13.3	2.9	1.7	4.5	532	0	268	0	264	11	0	0	0.7	0	0	0	0	25.3	0	10	20.98	8.8	374	TRUE	FALSE	FALSE
