hidden_layers,input_size,activation,epochs,train_ratio,test_rmse,test_mae,test_r2
3,64,relu,400,0.8,1848.8001355303763,1004.4129094545399,0.06743880330335328
3,64,relu,400,0.9,908.3967540509236,690.0649676502305,0.32079464633427035
3,64,relu,600,0.8,1848.8001355303763,1004.4129094545399,0.06743880330335328
3,64,relu,600,0.9,908.3967540509236,690.0649676502305,0.32079464633427035
3,64,tanh,400,0.8,1049.1544650894232,577.0053495698172,0.6996855158420723
3,64,tanh,400,0.9,667.9615632058577,416.03142033295586,0.6327575315471631
3,64,tanh,600,0.8,1049.1544650894232,577.0053495698172,0.6996855158420723
3,64,tanh,600,0.9,667.9615632058577,416.03142033295586,0.6327575315471631
3,128,relu,400,0.8,2124.881309743389,975.2429148760039,-0.23187535050254926
3,128,relu,400,0.9,928.1642120086094,587.643753122296,0.29091288955420336
3,128,relu,600,0.8,2124.881309743389,975.2429148760039,-0.23187535050254926
3,128,relu,600,0.9,928.1642120086094,587.643753122296,0.29091288955420336
3,128,tanh,400,0.8,1029.7402089307848,657.3798758029317,0.7106971216029705
3,128,tanh,400,0.9,1257.9536262642232,676.045645311361,-0.3025044503255476
3,128,tanh,600,0.8,1029.7402089307848,657.3798758029317,0.7106971216029705
3,128,tanh,600,0.9,1257.9536262642232,676.045645311361,-0.3025044503255476
4,64,relu,400,0.8,1336.8552751213638,771.9554502026475,0.5123971893543733
4,64,relu,400,0.9,975.4392263655778,655.5299530854552,0.21684020187179887
4,64,relu,600,0.8,1336.8552751213638,771.9554502026475,0.5123971893543733
4,64,relu,600,0.9,975.4392263655778,655.5299530854552,0.21684020187179887
4,64,tanh,400,0.8,761.3379230780344,492.26035712279526,0.8418561388108352
4,64,tanh,400,0.9,1352.717374065414,1132.8070838439926,-0.5061356530233638
4,64,tanh,600,0.8,761.3379230780344,492.26035712279526,0.8418561388108352
4,64,tanh,600,0.9,1352.717374065414,1132.8070838439926,-0.5061356530233638
4,128,relu,400,0.8,2594.6904097623205,1048.0499810025874,-0.8368280609379524
4,128,relu,400,0.9,508.4811365017844,312.394114347896,0.7871862691129783
4,128,relu,600,0.8,2594.6904097623205,1048.0499810025874,-0.8368280609379524
4,128,relu,600,0.9,508.4811365017844,312.394114347896,0.7871862691129783
4,128,tanh,400,0.8,1021.1432491229502,832.0799229784095,0.7155075448615994
4,128,tanh,400,0.9,1484.1365018748959,1166.1025306018519,-0.8129993407516647
4,128,tanh,600,0.8,1021.1432491229502,832.0799229784095,0.7155075448615994
4,128,tanh,600,0.9,1484.1365018748959,1166.1025306018519,-0.8129993407516647
