hidden_layers,input_size,activation,epochs,train_ratio,test_rmse,test_mae,test_r2
3,64,relu,400,0.8,1451.2575257170367,906.4120290838711,-0.043523455118515075
3,64,relu,400,0.9,835.9457894491813,695.4435830356853,0.7968013921020889
3,64,relu,600,0.8,1451.2575257170367,906.4120290838711,-0.043523455118515075
3,64,relu,600,0.9,835.9457894491813,695.4435830356853,0.7968013921020889
3,64,tanh,400,0.8,1485.3360170863818,1110.5693889527251,-0.09310698548712493
3,64,tanh,400,0.9,1800.8331567727619,1093.9298789465279,0.057000515030481314
3,64,tanh,600,0.8,1485.3360170863818,1110.5693889527251,-0.09310698548712493
3,64,tanh,600,0.9,1800.8331567727619,1093.9298789465279,0.057000515030481314
3,128,relu,400,0.8,1099.3407624416946,578.3483704918847,0.4012053543048152
3,128,relu,400,0.9,1152.7338224366472,949.8927298577735,0.6136129422522117
3,128,relu,600,0.8,1099.3407624416946,578.3483704918847,0.4012053543048152
3,128,relu,600,0.9,1152.7338224366472,949.8927298577735,0.6136129422522117
3,128,tanh,400,0.8,1311.7442371771772,795.0837703548519,0.1474662610021299
3,128,tanh,400,0.9,2600.6649382246806,1798.0842807608,-0.9666782021332863
3,128,tanh,600,0.8,1311.7442371771772,795.0837703548519,0.1474662610021299
3,128,tanh,600,0.9,2600.6649382246806,1798.0842807608,-0.9666782021332863
4,64,relu,400,0.8,2350.1371536231327,1633.2034276155728,-1.7365265251229434
4,64,relu,400,0.9,2498.6728603700763,1399.2495346834612,-0.815445845132486
4,64,relu,600,0.8,2350.1371536231327,1633.2034276155728,-1.7365265251229434
4,64,relu,600,0.9,2498.6728603700763,1399.2495346834612,-0.815445845132486
4,64,tanh,400,0.8,905.0466202545829,619.9226794931706,0.5941597216191675
4,64,tanh,400,0.9,1116.2245409922657,890.0605016859504,0.6377005855306146
4,64,tanh,600,0.8,905.0466202545829,619.9226794931706,0.5941597216191675
4,64,tanh,600,0.9,1116.2245409922657,890.0605016859504,0.6377005855306146
4,128,relu,400,0.8,1847.0109268329281,1212.1298794927284,-0.6902547878671965
4,128,relu,400,0.9,1477.2965641228432,909.2989429304272,0.36540028235200117
4,128,relu,600,0.8,1847.0109268329281,1212.1298794927284,-0.6902547878671965
4,128,relu,600,0.9,1477.2965641228432,909.2989429304272,0.36540028235200117
4,128,tanh,400,0.8,1720.2203893788155,923.8336953619125,-0.4661602040463857
4,128,tanh,400,0.9,1319.327676838937,893.0660432498665,0.4938609502939111
4,128,tanh,600,0.8,1720.2203893788155,923.8336953619125,-0.4661602040463857
4,128,tanh,600,0.9,1319.327676838937,893.0660432498665,0.4938609502939111
