hidden_layers,input_size,activation,epochs,train_ratio,test_rmse,test_mae,test_r2
3,64,relu,400,0.8,50170.431971017904,15346.471740662475,-22.170184540073755
3,64,relu,400,0.9,10877.513788620883,6304.249338795779,-3.8266840413669883
3,64,relu,600,0.8,50170.431971017904,15346.471740662475,-22.170184540073755
3,64,relu,600,0.9,10877.513788620883,6304.249338795779,-3.8266840413669883
3,64,tanh,400,0.8,10948.57305240851,5657.98916513915,-0.10344032979026818
3,64,tanh,400,0.9,12124.280910240323,8229.963055572402,-4.996551469563311
3,64,tanh,600,0.8,10948.57305240851,5657.98916513915,-0.10344032979026818
3,64,tanh,600,0.9,12124.280910240323,8229.963055572402,-4.996551469563311
3,128,relu,400,0.8,20043.28098704132,13404.418277212828,-2.6980386158203697
3,128,relu,400,0.9,13383.291687498471,8197.243490226236,-6.306602353855179
3,128,relu,600,0.8,20043.28098704132,13404.418277212828,-2.6980386158203697
3,128,relu,600,0.9,13383.291687498471,8197.243490226236,-6.306602353855179
3,128,tanh,400,0.8,24862.238104364467,9871.993213295862,-4.690026051178465
3,128,tanh,400,0.9,8269.42818007459,5030.68051818502,-1.7895910751802435
3,128,tanh,600,0.8,24862.238104364467,9871.993213295862,-4.690026051178465
3,128,tanh,600,0.9,8269.42818007459,5030.68051818502,-1.7895910751802435
4,64,relu,400,0.8,45712.21222867671,13816.374473582273,-18.23527017738351
4,64,relu,400,0.9,9885.946089994708,5317.266119412513,-2.9868147943636663
4,64,relu,600,0.8,45712.21222867671,13816.374473582273,-18.23527017738351
4,64,relu,600,0.9,9885.946089994708,5317.266119412513,-2.9868147943636663
4,64,tanh,400,0.8,22881.94680070862,9146.02670612358,-3.8196972095126736
4,64,tanh,400,0.9,14373.819177388064,10538.905382199357,-7.428182669169377
4,64,tanh,600,0.8,22881.94680070862,9146.02670612358,-3.8196972095126736
4,64,tanh,600,0.9,14373.819177388064,10538.905382199357,-7.428182669169377
4,128,relu,400,0.8,8184.087037747873,3211.2730717772965,0.3834414977857742
4,128,relu,400,0.9,5368.360314817745,3090.0518752836797,-0.17563606357198314
4,128,relu,600,0.8,8184.087037747873,3211.2730717772965,0.3834414977857742
4,128,relu,600,0.9,5368.360314817745,3090.0518752836797,-0.17563606357198314
4,128,tanh,400,0.8,25691.47816555214,9161.259415542105,-5.075919293821054
4,128,tanh,400,0.9,73947.81906831461,56388.988528523034,-222.0695675738529
4,128,tanh,600,0.8,25691.47816555214,9161.259415542105,-5.075919293821054
4,128,tanh,600,0.9,73947.81906831461,56388.988528523034,-222.0695675738529
