채수위치,조사일,수온(℃),pH,DO(㎎/L),투명도,탁도,Chl-a (㎎/㎥),유해남조류 세포수 (cells/㎖),수위(EL.m),저수량(백만㎥),저수율(%),강우량(mm),유입량(㎥/s),총방류량(㎥/s),평균기온(°C),일강수량(mm),합계 일조시간(hr),합계 일사량(MJ/m2),TN(㎎/L),TP(㎎/L),NP_Ratio,Retention_Index,7일뒤_AI예측_세포수,조류경보제 발령 예상
문의,2016-04-18,12.1,8.2,11.3,2.0,2.5,5.1,0.0,68.52,721.814,48.4,0.688,102.719,19.447,12.3,1.7,9.6,23.73,0.923,0.011,83.90909090909092,37.11698462487787,375.0,해제
문의,2016-05-02,14.4,8.2,11.5,2.2,1.7,6.9,0.0,70.28,810.13,54.4,1.9942,53.058,41.082,19.8,6.3,8.3,22.04,1.514,0.007,216.28571428571428,19.719828635412103,0.0,해제
문의,2016-05-16,17.0,8.4,11.4,4.3,1.4,7.4,0.0,70.06,798.79,53.6,7.7333,39.989,51.877,15.9,5.2,11.7,29.91,1.25,0.004,312.5,15.397767796904214,0.0,해제
문의,2016-10-17,21.4,8.6,6.7,3.3,2.5,6.8,3448.0,73.02,959.251,64.4,1.4919,41.29,28.07,17.6,1.0,6.9,14.43,1.459,0.036,40.527777777777786,34.17353045956537,2653.0,관심
문의,2016-10-24,20.5,7.4,7.2,2.7,2.7,7.0,860.0,73.06,961.537,64.5,0.1019,14.845,28.092,15.5,0.0,8.9,15.78,1.069,0.051,20.96078431372549,34.22814324362808,935.0,해제
문의,2016-10-31,18.9,7.5,6.5,2.9,2.2,5.7,180.0,73.08,962.682,64.6,0.0,21.6,28.227,7.8,0.0,0.0,2.68,1.073,0.05,21.46,34.105005845467105,666.0,해제
문의,2016-11-07,17.7,7.5,6.9,2.8,2.6,5.9,0.0,73.02,959.251,64.4,0.8621,21.412,28.025,14.3,2.7,5.2,10.18,1.253,0.011,113.9090909090909,34.228403211418374,481.0,해제
문의,2016-11-14,16.8,7.2,7.5,3.5,2.3,7.8,0.0,72.95,955.257,64.1,0.0525,15.103,28.299,15.3,0.1,6.7,10.67,1.46,0.007,208.57142857142856,33.755857097423934,608.0,해제
문의,2016-11-21,15.7,7.6,8.6,3.1,2.3,15.2,0.0,72.84,949.0,63.7,0.4316,18.787,31.933,8.7,0.1,0.0,2.33,1.676,0.009,186.22222222222223,29.718473052954625,557.0,해제
문의,2016-12-05,12.8,7.4,9.0,3.0,1.8,16.6,0.0,72.55,932.621,62.6,0.0,12.735,32.256,8.9,0.2,3.7,6.22,1.257,0.012,104.75,28.913101438492063,0.0,해제
문의,2016-12-12,11.5,7.5,9.4,4.0,1.9,10.3,0.0,72.43,925.892,62.1,0.0,21.906,28.383,4.3,0.0,6.5,8.18,1.304,0.005,260.8,32.621357855054086,0.0,해제
문의,2016-12-19,10.6,8.4,9.4,3.0,2.0,5.5,38.0,72.29,918.078,61.6,2.6928,15.676,28.568,7.8,1.8,0.9,3.97,1.279,0.011,116.27272727272728,32.136586390366844,0.0,해제
문의,2016-12-26,9.8,8.4,9.4,3.3,2.0,2.4,0.0,72.34,920.864,61.8,11.6639,41.378,28.472,3.1,10.8,0.0,1.48,1.377,0.009,153.0,32.34279291935937,0.0,해제
문의,2017-01-09,8.7,8.3,10.1,4.2,1.8,1.8,0.0,72.39,923.656,62.0,0.0974,15.215,28.153,4.3,0.0,6.4,8.35,1.349,0.01,134.9,32.80843959791141,0.0,해제
문의,2017-01-23,6.1,7.6,9.5,3.3,1.5,1.8,0.0,72.18,911.966,61.2,0.0273,21.941,28.361,-6.5,0.0,8.9,14.14,1.361,0.009,151.22222222222223,32.155636261062725,0.0,해제
문의,2017-02-13,5.1,7.0,11.0,4.0,1.4,1.9,0.0,71.79,890.488,59.8,0.3237,15.905,28.569,0.3,0.6,5.7,11.33,1.319,0.01,131.9,31.169729427001297,0.0,해제
문의,2017-02-20,5.6,7.7,11.4,3.6,3.2,2.1,0.0,71.68,884.484,59.4,16.4878,28.326,28.326,1.3,15.3,7.0,15.09,1.404,0.003,468.0,31.225164160135567,0.0,해제
