채수위치,조사일,수온(℃),pH,DO(㎎/L),투명도,탁도,Chl-a (㎎/㎥),유해남조류 세포수 (cells/㎖),수위(EL.m),저수량(백만㎥),저수율(%),강우량(mm),유입량(㎥/s),총방류량(㎥/s),평균기온(°C),일강수량(mm),합계 일조시간(hr),합계 일사량(MJ/m2),TN(㎎/L),TP(㎎/L),NP_Ratio,Retention_Index
문의,2015-01-05,,,,,,,0.0,73.22,970.717,65.2,6.2879,16.073,29.395,3.2,6.1,4.1,7.64,1.798,0.009,199.7777777777778,33.02320122469808
추동,2015-01-05,,,,,,,0.0,73.22,970.717,65.2,6.2879,16.073,29.395,3.2,6.1,4.1,7.64,,,,33.02320122469808
회남,2015-01-05,,,,,,,48.0,73.22,970.717,65.2,6.2879,16.073,29.395,3.2,6.1,4.1,7.64,,,,33.02320122469808
문의,2015-01-12,,,,,,,0.0,73.23,971.292,65.2,0.0,30.533,50.526,-1.8,,8.9,12.35,1.403,0.009,155.8888888888889,19.2236076475478
추동,2015-01-12,,,,,,,28.0,73.23,971.292,65.2,0.0,30.533,50.526,-1.8,,8.9,12.35,,,,19.2236076475478
회남,2015-01-12,,,,,,,0.0,73.23,971.292,65.2,0.0,30.533,50.526,-1.8,,8.9,12.35,,,,19.2236076475478
문의,2015-01-19,,,,,,,0.0,73.09,963.255,64.7,0.7291,30.604,50.5,1.8,0.0,2.3,5.16,1.501,0.015,100.06666666666666,19.07435643564357
추동,2015-01-19,,,,,,,0.0,73.09,963.255,64.7,0.7291,30.604,50.5,1.8,0.0,2.3,5.16,,,,19.07435643564357
회남,2015-01-19,,,,,,,0.0,73.09,963.255,64.7,0.7291,30.604,50.5,1.8,0.0,2.3,5.16,,,,19.07435643564357
문의,2015-01-26,,,,,,,0.0,72.95,955.257,64.1,1.7979,30.833,50.631,5.3,0.3,0.0,1.82,1.509,0.007,215.57142857142856,18.86703798068377
추동,2015-01-26,,,,,,,0.0,72.95,955.257,64.1,1.7979,30.833,50.631,5.3,0.3,0.0,1.82,,,,18.86703798068377
회남,2015-01-26,,,,,,,0.0,72.95,955.257,64.1,1.7979,30.833,50.631,5.3,0.3,0.0,1.82,,,,18.86703798068377
문의,2015-02-02,,,,,,,0.0,72.83,948.432,63.7,0.0,34.534,60.825,-0.5,,8.0,13.14,1.615,0.01,161.5,15.592799013563502
추동,2015-02-02,,,,,,,0.0,72.83,948.432,63.7,0.0,34.534,60.825,-0.5,,8.0,13.14,,,,15.592799013563502
회남,2015-02-02,,,,,,,0.0,72.83,948.432,63.7,0.0,34.534,60.825,-0.5,,8.0,13.14,,,,15.592799013563502
문의,2015-02-09,,,,,,,0.0,72.58,934.307,62.7,0.0,24.158,63.262,-4.5,0.0,9.1,14.99,1.475,0.009,163.8888888888889,14.768850178622236
추동,2015-02-09,,,,,,,16.0,72.58,934.307,62.7,0.0,24.158,63.262,-4.5,0.0,9.1,14.99,,,,14.768850178622236
회남,2015-02-09,,,,,,,68.0,72.58,934.307,62.7,0.0,24.158,63.262,-4.5,0.0,9.1,14.99,,,,14.768850178622236
문의,2015-02-16,,,,,,,0.0,72.25,915.853,61.5,14.7602,41.117,60.431,4.8,17.0,0.0,1.33,1.492,0.007,213.14285714285717,15.155350730585296
추동,2015-02-16,,,,,,,52.0,72.25,915.853,61.5,14.7602,41.117,60.431,4.8,17.0,0.0,1.33,,,,15.155350730585296
회남,2015-02-16,,,,,,,56.0,72.25,915.853,61.5,14.7602,41.117,60.431,4.8,17.0,0.0,1.33,,,,15.155350730585296
문의,2015-02-23,,,,,,,0.0,72.13,909.196,61.0,0.0,42.64,55.459,3.0,,6.9,15.66,1.436,0.006,239.3333333333333,16.39402080816459
추동,2015-02-23,,,,,,,132.0,72.13,909.196,61.0,0.0,42.64,55.459,3.0,,6.9,15.66,,,,16.39402080816459
회남,2015-02-23,,,,,,,0.0,72.13,909.196,61.0,0.0,42.64,55.459,3.0,,6.9,15.66,,,,16.39402080816459
문의,2015-03-02,,,,,,,48.0,72.0,902.016,60.5,0.0,32.909,45.669,3.8,,10.5,20.08,1.458,0.006,243.0,19.75116599881758
추동,2015-03-02,,,,,,,100.0,72.0,902.016,60.5,0.0,32.909,45.669,3.8,,10.5,20.08,,,,19.75116599881758
회남,2015-03-02,,,,,,,0.0,72.0,902.016,60.5,0.0,32.909,45.669,3.8,,10.5,20.08,,,,19.75116599881758
문의,2015-03-09,,,,,,,0.0,71.75,888.302,59.6,0.0,22.66,60.625,4.4,,9.1,18.79,1.53,0.007,218.57142857142856,14.65240412371134
추동,2015-03-09,,,,,,,0.0,71.75,888.302,59.6,0.0,22.66,60.625,4.4,,9.1,18.79,,,,14.65240412371134
회남,2015-03-09,,,,,,,158.0,71.75,888.302,59.6,0.0,22.66,60.625,4.4,,9.1,18.79,,,,14.65240412371134
문의,2015-03-16,,,,,,,0.0,71.47,873.088,58.6,0.0,29.14,60.454,10.3,,9.3,19.06,1.469,0.008,183.625,14.442187448307804
추동,2015-03-16,,,,,,,94.0,71.47,873.088,58.6,0.0,29.14,60.454,10.3,,9.3,19.06,,,,14.442187448307804
회남,2015-03-16,,,,,,,0.0,71.47,873.088,58.6,0.0,29.14,60.454,10.3,,9.3,19.06,,,,14.442187448307804
문의,2015-03-23,,,,,,,0.0,71.68,884.484,59.4,0.0,67.272,60.968,5.3,,11.6,24.63,1.617,0.006,269.5,14.507348117045009
추동,2015-03-23,,,,,,,0.0,71.68,884.484,59.4,0.0,67.272,60.968,5.3,,11.6,24.63,,,,14.507348117045009
회남,2015-03-23,,,,,,,0.0,71.68,884.484,59.4,0.0,67.272,60.968,5.3,,11.6,24.63,,,,14.507348117045009
문의,2015-03-30,,,,,,,0.0,71.65,882.85,59.3,0.0,26.984,33.283,14.8,,10.3,22.87,1.34,0.006,223.33333333333331,26.52555358591473
추동,2015-03-30,,,,,,,0.0,71.65,882.85,59.3,0.0,26.984,33.283,14.8,,10.3,22.87,,,,26.52555358591473
회남,2015-03-30,,,,,,,14.0,71.65,882.85,59.3,0.0,26.984,33.283,14.8,,10.3,22.87,,,,26.52555358591473
문의,2015-04-06,,,,,,,0.0,71.52,875.793,58.8,1.8356,70.874,70.874,10.4,2.1,0.0,5.41,1.403,0.007,200.42857142857144,12.35704207466772
추동,2015-04-06,,,,,,,0.0,71.52,875.793,58.8,1.8356,70.874,70.874,10.4,2.1,0.0,5.41,,,,12.35704207466772
회남,2015-04-06,,,,,,,0.0,71.52,875.793,58.8,1.8356,70.874,70.874,10.4,2.1,0.0,5.41,,,,12.35704207466772
문의,2015-04-13,,,,,,,0.0,71.4,869.308,58.3,2.3573,42.133,79.621,10.8,1.5,0.2,5.43,1.673,0.007,239.0,10.918074377362757
추동,2015-04-13,,,,,,,0.0,71.4,869.308,58.3,2.3573,42.133,79.621,10.8,1.5,0.2,5.43,,,,10.918074377362757
회남,2015-04-13,,,,,,,0.0,71.4,869.308,58.3,2.3573,42.133,79.621,10.8,1.5,0.2,5.43,,,,10.918074377362757
문의,2015-04-20,,,,,,,0.0,71.35,866.614,58.2,15.2309,79.173,79.173,11.5,13.0,0.0,3.63,1.392,0.007,198.85714285714283,10.945827491695402
추동,2015-04-20,,,,,,,0.0,71.35,866.614,58.2,15.2309,79.173,79.173,11.5,13.0,0.0,3.63,,,,10.945827491695402
회남,2015-04-20,,,,,,,18.0,71.35,866.614,58.2,15.2309,79.173,79.173,11.5,13.0,0.0,3.63,,,,10.945827491695402
문의,2015-04-27,,,,,,,0.0,71.41,869.847,58.4,0.0,41.104,41.104,19.3,,12.4,27.61,1.838,0.007,262.57142857142856,21.16210101206695
추동,2015-04-27,,,,,,,0.0,71.41,869.847,58.4,0.0,41.104,41.104,19.3,,12.4,27.61,,,,21.16210101206695
회남,2015-04-27,,,,,,,0.0,71.41,869.847,58.4,0.0,41.104,41.104,19.3,,12.4,27.61,,,,21.16210101206695
문의,2015-05-04,,,,,,,0.0,71.17,856.957,57.5,0.2501,40.515,96.311,16.4,,11.8,27.61,1.546,0.008,193.25,8.897810218978101
추동,2015-05-04,,,,,,,0.0,71.17,856.957,57.5,0.2501,40.515,96.311,16.4,,11.8,27.61,,,,8.897810218978101
회남,2015-05-04,,,,,,,184.0,71.17,856.957,57.5,0.2501,40.515,96.311,16.4,,11.8,27.61,,,,8.897810218978101
문의,2015-05-11,,,,,,,0.0,70.48,820.52,55.1,5.0741,36.565,97.025,18.2,10.0,5.3,16.62,1.564,0.008,195.5,8.456789487245555
