채수위치,조사일,수온(℃),pH,DO(㎎/L),투명도,탁도,Chl-a (㎎/㎥),유해남조류 세포수 (cells/㎖),수위(EL.m),저수량(백만㎥),저수율(%),강우량(mm),유입량(㎥/s),총방류량(㎥/s),평균기온(°C),일강수량(mm),합계 일조시간(hr),합계 일사량(MJ/m2),TN(㎎/L),TP(㎎/L),NP_Ratio,Retention_Index,7일뒤_AI예측_세포수,조류경보제 발령 예상
회남,2016-04-18,8.9,7.4,11.4,2.8,1.5,5.3,0.0,68.52,721.814,48.4,0.688,102.719,19.447,12.3,1.7,9.6,23.73,,,,37.11698462487787,1404.0,관심
회남,2016-05-02,11.1,7.8,11.8,2.0,1.7,6.0,0.0,70.28,810.13,54.4,1.9942,53.058,41.082,19.8,6.3,8.3,22.04,,,,19.719828635412103,1252.0,관심
회남,2016-05-16,12.2,7.9,10.3,2.5,1.4,6.4,0.0,70.06,798.79,53.6,7.7333,39.989,51.877,15.9,5.2,11.7,29.91,,,,15.397767796904214,716.0,해제
회남,2016-06-07,15.5,7.7,6.8,4.9,1.1,2.5,260.0,67.93,693.797,46.6,0.4327,18.523,78.317,21.9,1.2,4.1,17.95,,,,8.858830139050271,114.0,해제
회남,2016-06-20,16.7,7.5,5.4,4.3,1.7,2.8,90.0,66.6,633.378,42.5,3.2715,18.06,69.136,24.2,2.2,5.8,19.67,,,,9.16133418190234,0.0,해제
회남,2016-06-27,16.6,7.5,5.0,6.7,1.3,3.2,264.0,66.09,611.195,41.0,0.0,19.59,59.453,23.3,5.5,5.1,16.32,,,,10.280305451364944,0.0,해제
회남,2016-07-04,17.3,7.4,3.6,3.9,1.9,6.0,582.0,68.11,702.264,47.1,92.556,842.346,34.864,22.1,179.1,0.0,3.42,,,,20.14295548416705,151.0,해제
회남,2016-07-11,20.0,7.7,7.8,2.4,38.3,4.4,272.0,75.16,1086.143,72.9,2.6503,112.51,233.834,27.1,0.3,2.8,16.95,,,,4.644931874748753,1335.0,관심
회남,2016-08-16,24.2,8.4,5.1,2.0,9.2,5.7,3422.0,71.4,869.308,58.3,0.0,7.393,51.137,29.9,0.0,9.0,23.67,,,,16.999589338443787,762.0,해제
회남,2016-08-29,22.5,7.8,4.8,1.8,8.3,7.3,2324.0,70.53,823.129,55.2,0.3895,9.225,51.602,20.5,3.1,9.9,22.85,,,,15.95149412813457,1508.0,관심
회남,2016-09-05,22.0,8.2,3.5,1.9,7.6,5.7,5946.0,70.27,809.613,54.3,0.9667,21.206,45.176,26.2,0.0,5.0,13.15,,,,17.921307774039313,1245.0,관심
회남,2016-09-12,21.8,7.9,3.3,3.0,5.1,2.7,2828.0,69.97,793.931,53.3,1.4279,12.911,39.471,23.5,9.8,5.7,15.95,,,,20.114286438144465,894.0,해제
회남,2016-10-17,20.4,8.4,7.4,2.9,5.1,13.8,126.0,73.02,959.251,64.4,1.4919,41.29,28.07,17.6,1.0,6.9,14.43,,,,34.17353045956537,2713.0,관심
회남,2016-10-24,19.6,7.2,7.5,3.2,2.5,8.2,316.0,73.06,961.537,64.5,0.1019,14.845,28.092,15.5,0.0,8.9,15.78,,,,34.22814324362808,445.0,해제
회남,2016-10-31,18.3,7.5,5.5,3.1,3.0,7.7,0.0,73.08,962.682,64.6,0.0,21.6,28.227,7.8,0.0,0.0,2.68,,,,34.105005845467105,2049.0,관심
회남,2016-11-07,17.4,7.6,7.2,2.9,4.3,7.4,16.0,73.02,959.251,64.4,0.8621,21.412,28.025,14.3,2.7,5.2,10.18,,,,34.228403211418374,1370.0,관심
회남,2016-11-14,16.5,7.4,8.2,3.6,3.8,5.8,0.0,72.95,955.257,64.1,0.0525,15.103,28.299,15.3,0.1,6.7,10.67,,,,33.755857097423934,434.0,해제
