hidden_layers,input_size,activation,epochs,train_ratio,test_rmse,test_mae,test_r2
3,64,relu,400,0.8,3869.941329759064,1367.228167963963,0.8691268294825406
3,64,relu,400,0.9,4157.358697795008,1726.7552956973805,0.9169135581301845
3,64,relu,600,0.8,3015.067888201236,1226.8334206973805,0.9205605822398204
3,64,relu,600,0.9,3770.2174760016865,1558.8001541436888,0.9316673960015426
3,64,tanh,400,0.8,4302.99370890718,1633.5650395412072,0.8381982240799305
3,64,tanh,400,0.9,5901.727915700395,2205.999851600797,0.832562190467481
3,64,tanh,600,0.8,4024.2959447673124,1781.9943105660234,0.8584787408764432
3,64,tanh,600,0.9,5733.833978701253,2209.379830154718,0.8419533137217163
3,128,relu,400,0.8,3749.146476876219,1313.4087207270604,0.8771693702254232
3,128,relu,400,0.9,3877.33973074324,1628.6026994293811,0.9277291974665363
3,128,relu,600,0.8,3358.3438840365857,1361.041754030714,0.9014419299086476
3,128,relu,600,0.9,5095.794077160274,1694.571044921875,0.8751700185314635
3,128,tanh,400,0.8,4131.962477846204,1705.7219633214613,0.8508048862429055
3,128,tanh,400,0.9,6378.516436260282,2249.997422162224,0.8044154592662622
3,128,tanh,600,0.8,4397.97088114655,1939.3010864257812,0.8309767060779709
3,128,tanh,600,0.9,5397.268198905745,2293.171994676777,0.859962881628836
4,64,relu,400,0.8,3177.8625336716295,1229.009235456878,0.9117505361834943
4,64,relu,400,0.9,5654.537128475138,2056.0959245270374,0.846294542910963
4,64,relu,600,0.8,3545.763479348044,1369.1439472273285,0.8901344872538053
4,64,relu,600,0.9,5312.329706281331,1910.3367130055146,0.8643358152147926
4,64,tanh,400,0.8,4220.333075484434,1718.8851234585632,0.8443549487224907
4,64,tanh,400,0.9,5611.9438026730195,1971.2656273935356,0.8486014229167314
4,64,tanh,600,0.8,4656.238638014584,1622.8074466480928,0.8105422730430472
4,64,tanh,600,0.9,5926.659474724126,2243.0632252412684,0.8311445368089483
4,128,relu,400,0.8,3255.7799679383625,1248.3066795199525,0.9073699378876786
4,128,relu,400,0.9,6060.968389270752,2341.3953402650122,0.8234046740770744
4,128,relu,600,0.8,3514.325350978724,1290.6162803500306,0.8920740717775433
4,128,relu,600,0.9,4523.348830737622,1751.1310005935968,0.9016407228502517
4,128,tanh,400,0.8,4625.09927103951,1526.1718211454504,0.813067859417891
4,128,tanh,400,0.9,5736.531340842696,2199.073507869945,0.8418045792366098
4,128,tanh,600,0.8,5728.4879677838435,2169.743221507353,0.7132378206698797
4,128,tanh,600,0.9,5360.064647831004,1878.699613683364,0.8618867890434687
