hidden_layers,input_size,activation,epochs,train_ratio,test_rmse,test_mae,test_r2
3,64,relu,400,0.8,3192.2231796462406,1185.7251550706767,0.665385395760447
3,64,relu,400,0.9,3266.5562643236008,1199.3060526529948,0.6290873870620999
3,64,relu,600,0.8,3320.0950547231405,1198.1189802784031,0.638040954943862
3,64,relu,600,0.9,2435.116285697075,998.4424377441406,0.7938749727106358
3,64,tanh,400,0.8,3174.540848643326,1227.3095604848054,0.6690821167051911
3,64,tanh,400,0.9,2815.0672940111385,1127.973180135091,0.7245334448664029
3,64,tanh,600,0.8,3139.531839879902,1193.6312271376787,0.676340631892596
3,64,tanh,600,0.9,2859.4962235011453,1348.951708984375,0.7157697020032125
3,128,relu,400,0.8,2985.9046662144206,1091.3002598649364,0.7072409877872765
3,128,relu,400,0.9,3641.4919887191936,1249.4971048990885,0.5390540182080492
3,128,relu,600,0.8,3323.482622646174,1269.204828294657,0.6373019481563699
3,128,relu,600,0.9,2987.0424813661566,1047.1229166666667,0.689848337085154
3,128,tanh,400,0.8,3131.424989137621,1158.6114967475503,0.6780099703029974
3,128,tanh,400,0.9,2603.079651327912,1108.2655110677083,0.7644591541908932
3,128,tanh,600,0.8,3005.7731095487184,1144.2499312061375,0.7033319426086624
3,128,tanh,600,0.9,2819.8972929762813,1162.3974711100261,0.7235873612003825
4,64,relu,400,0.8,3381.8372466519395,1092.0316415560449,0.6244534261261516
4,64,relu,400,0.9,2681.3708721438884,977.8365254720052,0.7500776531497282
4,64,relu,600,0.8,3675.5935553172003,1258.7038253525557,0.5563777083735584
4,64,relu,600,0.9,3013.4644237351786,1097.0207773844402,0.684337164688144
4,64,tanh,400,0.8,3197.812661754094,1276.9701419119108,0.6642125706315045
4,64,tanh,400,0.9,2636.294558760259,1066.7621663411458,0.7584098728916615
4,64,tanh,600,0.8,3351.187436018987,1288.885194940082,0.6312297850362887
4,64,tanh,600,0.9,2553.2080782375133,1030.9977589925131,0.7733980016636691
4,128,relu,400,0.8,3408.726872734947,1204.7848717641023,0.6184576002002997
4,128,relu,400,0.9,3160.914238034314,1086.239897664388,0.6526904372946193
4,128,relu,600,0.8,2844.2971179348624,1090.9647268521583,0.7343509172693226
4,128,relu,600,0.9,2821.600262385723,959.3847503662109,0.7232534026503238
4,128,tanh,400,0.8,3007.5813363613574,1100.5078921560514,0.7029748933742486
4,128,tanh,400,0.9,2580.858911645702,1095.4742513020833,0.768463298059478
4,128,tanh,600,0.8,3078.7096235327426,1146.0588637529793,0.6887596775062348
4,128,tanh,600,0.9,2110.500215868143,903.3093821207682,0.845167503061959
