hidden_layers,input_size,activation,epochs,train_ratio,test_rmse,test_mae,test_r2
3,64,relu,400,0.8,15766.57061739291,4511.407723119703,-0.1346015994615286
3,64,relu,400,0.9,18487.86902158701,4902.157029215495,0.07874571413445064
3,64,relu,600,0.8,13523.099523269046,3561.762827727754,0.1653173248485038
3,64,relu,600,0.9,18096.865571728988,4600.697583007813,0.11730121132288385
3,64,tanh,400,0.8,13568.034226129223,3921.9284171411546,0.15976112362979544
3,64,tanh,400,0.9,15421.136704359766,4135.266253662109,0.3590286999822183
3,64,tanh,600,0.8,13032.885687040307,3852.665194236626,0.22473516949336636
3,64,tanh,600,0.9,18157.745145714118,4437.716691080729,0.11135225663630877
3,128,relu,400,0.8,13454.049876394465,3135.7205045021187,0.17381942917579596
3,128,relu,400,0.9,18504.86616725928,4511.269295247396,0.07705099298227047
3,128,relu,600,0.8,13268.82969496845,3119.007151458223,0.19641069004631473
3,128,relu,600,0.9,17584.865280271224,4253.740311686198,0.16654165201311044
3,128,tanh,400,0.8,12645.653590610564,3326.535756256621,0.27011998491266775
3,128,tanh,400,0.9,16947.65247046683,4479.529461669922,0.22585037204241765
3,128,tanh,600,0.8,13359.051908348105,3723.7573159427966,0.18544542824072452
3,128,tanh,600,0.9,16314.108993331993,4346.220690917969,0.2826476442526984
4,64,relu,400,0.8,13707.546708873659,3302.348309015824,0.14239287659898436
4,64,relu,400,0.9,19089.266496608663,4829.915934244792,0.017835366059010593
4,64,relu,600,0.8,13571.017747571774,3113.903076171875,0.15939155700210017
4,64,relu,600,0.9,18248.272980795788,4250.940934244792,0.10246922670429326
4,64,tanh,400,0.8,12752.856337975614,3416.4565419342557,0.2576925051490596
4,64,tanh,400,0.9,16123.44903872848,4257.948264567057,0.2993167939715584
4,64,tanh,600,0.8,13254.915074858409,3618.34547760527,0.1980952059087836
4,64,tanh,600,0.9,15003.176029432494,4504.5086385091145,0.3933024802645483
4,128,relu,400,0.8,13899.595716772661,3445.7748392396056,0.11819359715797106
4,128,relu,400,0.9,17642.426837499883,4444.72934366862,0.16107630672169315
4,128,relu,600,0.8,13702.621314401018,3072.458036778337,0.14300907650429928
4,128,relu,600,0.9,17928.167811597512,3911.489778645833,0.13368142331799082
4,128,tanh,400,0.8,11457.673765770587,3365.2611973649364,0.40081378178668503
4,128,tanh,400,0.9,16635.30846181765,4295.287174479166,0.25412246589840526
4,128,tanh,600,0.8,13117.402669825215,3200.0615896451272,0.21464753408190407
4,128,tanh,600,0.9,14665.145639354252,4589.1036092122395,0.420333008668036
