분류,지점명,채수위치,조사일,수온(℃),pH,DO(㎎/L),투명도,탁도,Chl-a (㎎/㎥),유해남조류 세포수 (cells/㎖),유해남조류 우점종 및 세포수(속별),유해남조류 우점종 및 세포수(속별).1,유해남조류 우점종 및 세포수(속별).2,유해남조류 우점종 및 세포수(속별).3,냄새물질 (ng/L),냄새물질 (ng/L).1,조류독소(㎍/L),조류독소(㎍/L).1,조류독소(㎍/L).2,조류독소(㎍/L).3,조류독소(㎍/L).4,조류독소(㎍/L).5,평균기온(°C),일강수량(mm),합계 일조시간(hr),합계 일사량(MJ/m2),TN(㎎/L),TP(㎎/L),수위(EL.m),저수량(백만㎥),저수율(%),강우량(mm),유입량(㎥/s),총방류량(㎥/s),N_P_비율,체류시간_지표
호소,대청호,문의,2015-01-05,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,3.2,6.1,4.1,7.64,1.798,0.009,73.22,970.717,65.2,6.2879,16.073,29.395,199.77775558024942,32.911239193083574
호소,대청호,회남,2015-01-05,8.8,8.2,13.3,2.9,1.7,4.5,48.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,3.2,6.1,4.1,7.64,,,73.22,970.717,65.2,6.2879,16.073,29.395,,32.911239193083574
호소,대청호,추동,2015-01-05,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,3.2,6.1,4.1,7.64,,,73.22,970.717,65.2,6.2879,16.073,29.395,,32.911239193083574
호소,대청호,추동,2015-01-12,8.8,8.2,13.3,2.9,1.7,4.5,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,-1.8,0.0,8.9,12.35,,,73.23,971.292,65.2,0.0,30.533,50.526,,19.18563583929206
호소,대청호,문의,2015-01-12,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,-1.8,0.0,8.9,12.35,1.403,0.009,73.23,971.292,65.2,0.0,30.533,50.526,155.88887156790318,19.18563583929206
호소,대청호,회남,2015-01-12,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,-1.8,0.0,8.9,12.35,,,73.23,971.292,65.2,0.0,30.533,50.526,,19.18563583929206
호소,대청호,회남,2015-01-19,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.8,0.0,2.3,5.16,,,73.09,963.255,64.7,0.7291,30.604,50.5,,19.036660079051384
호소,대청호,문의,2015-01-19,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.8,0.0,2.3,5.16,1.501,0.015,73.09,963.255,64.7,0.7291,30.604,50.5,100.066659995556,19.036660079051384
호소,대청호,추동,2015-01-19,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.8,0.0,2.3,5.16,,,73.09,963.255,64.7,0.7291,30.604,50.5,,19.036660079051384
호소,대청호,회남,2015-01-26,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,5.3,0.3,0.0,1.82,,,72.95,955.257,64.1,1.7979,30.833,50.631,,18.829847627683268
호소,대청호,추동,2015-01-26,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,5.3,0.3,0.0,1.82,,,72.95,955.257,64.1,1.7979,30.833,50.631,,18.829847627683268
호소,대청호,문의,2015-01-26,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,5.3,0.3,0.0,1.82,1.509,0.007,72.95,955.257,64.1,1.7979,30.833,50.631,215.57139777551458,18.829847627683268
