유해남조류 세포수 (cells/㎖),7일 전_수온(℃),7일 전_pH,7일 전_DO(㎎/L),7일 전_투명도,7일 전_탁도,7일 전_Chl-a (㎎/㎥),7일 전_평균기온(°C),7일 전_일강수량(mm),7일 전_합계 일조시간(hr),7일 전_합계 일사량(MJ/m2),7일 전_TN(㎎/L),7일 전_TP(㎎/L),7일 전_N_P_비율,7일 전_체류시간_지표,7일 전_유해남조류 세포수 (cells/㎖)
0.0,8.8,8.2,13.3,2.9,1.7,4.5,3.2,6.1,4.1,7.64,1.798,0.009,199.77775558024945,32.911239193083574,0.0
0.0,8.8,8.2,13.3,2.9,1.7,4.5,-1.8,0.0,8.9,12.35,1.403,0.009,155.88887156790318,19.18563583929206,0.0
0.0,8.8,8.2,13.3,2.9,1.7,4.5,1.8,0.0,2.3,5.16,1.501,0.015,100.066659995556,19.036660079051384,0.0
0.0,8.8,8.2,13.3,2.9,1.7,4.5,5.3,0.3,0.0,1.82,1.509,0.007,215.57139777551455,18.829847627683268,0.0
0.0,8.8,8.2,13.3,2.9,1.7,4.5,-0.5,0.0,8.0,13.14,1.615,0.01,161.49998385000163,15.567205580631924,0.0
0.0,8.8,8.2,13.3,2.9,1.7,4.5,-4.5,0.0,9.1,14.99,1.475,0.009,163.8888706790144,14.745541491745842,0.0
0.0,8.8,8.2,13.3,2.9,1.7,4.5,4.8,17.0,0.0,1.33,1.492,0.007,213.1428266938819,15.1303133931374,0.0
48.0,8.8,8.2,13.3,2.9,1.7,4.5,3.0,0.0,6.9,15.66,1.436,0.006,239.33329344445107,16.364513400169187,0.0
0.0,8.8,8.2,13.3,2.9,1.7,4.5,3.8,0.0,10.5,20.08,1.458,0.006,242.99995950000672,19.70801197316961,48.0
0.0,8.8,8.2,13.3,2.9,1.7,4.5,4.4,0.0,9.1,18.79,1.53,0.007,218.57139734694323,14.6282750102923,0.0
0.0,8.8,8.2,13.3,2.9,1.7,4.5,10.3,0.0,9.3,19.06,1.469,0.008,183.6249770468779,14.418337351785182,0.0
0.0,8.8,8.2,13.3,2.9,1.7,4.5,5.3,0.0,11.6,24.63,1.617,0.006,269.4999550833408,14.483592061308704,0.0
0.0,8.8,8.2,13.3,2.9,1.7,4.5,14.8,0.0,10.3,22.87,1.34,0.006,223.3332961111173,26.446095317976216,0.0
0.0,8.8,8.2,13.3,2.9,1.7,4.5,10.4,2.1,0.0,5.41,1.403,0.007,200.42854279592245,12.339631414320738,0.0
0.0,8.8,8.2,13.3,2.9,1.7,4.5,10.8,1.5,0.2,5.43,1.673,0.007,238.9999658571477,10.904379021838665,0.0
0.0,8.8,8.2,13.3,2.9,1.7,4.5,11.5,13.0,0.0,3.63,1.392,0.007,198.8571144489836,10.932019729289925,0.0
0.0,8.8,8.2,13.3,2.9,1.7,4.5,19.3,0.0,12.4,27.61,1.838,0.007,262.57139106122986,21.11074167556548,0.0
0.0,8.8,8.2,13.3,2.9,1.7,4.5,16.4,0.0,11.8,27.61,1.546,0.008,193.24997584375305,8.88858117849623,0.0
28.0,8.8,8.2,13.3,2.9,1.7,4.5,18.2,10.0,5.3,16.62,1.564,0.008,195.49997556250307,8.448082368082368,0.0
